id,method,lon,lat,depth,target_depth,poc_flux_obs,ccsm_whoi,cesm_ethz,ecco_darwin,fesom_recom_lr,mpiom_hammoc,mri_esm2_0,nor_esm_oc1.2,nowicki_2022,simple_trim,wang_2023
4384,sediment trap,-64.4,10.3,810,1000,17,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4385,sediment trap,-64.4,10.3,810,1000,1,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4386,sediment trap,-64.4,10.3,810,1000,63,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4387,sediment trap,-64.4,10.3,810,1000,25,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4388,sediment trap,-64.4,10.3,810,1000,39,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4389,sediment trap,-64.4,10.3,810,1000,86,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4390,sediment trap,-64.4,10.3,810,1000,34,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4391,sediment trap,-64.4,10.3,810,1000,39,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4392,sediment trap,-64.4,10.3,810,1000,38,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4393,sediment trap,-64.4,10.3,810,1000,46,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4394,sediment trap,-64.4,10.3,810,1000,45,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4395,sediment trap,-64.4,10.3,810,1000,108,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4396,sediment trap,-64.4,10.3,810,1000,18,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4397,sediment trap,-64.4,10.3,810,1000,9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4398,sediment trap,-64.4,10.3,810,1000,50,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4399,sediment trap,-64.4,10.3,810,1000,22,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4400,sediment trap,-64.4,10.3,810,1000,59,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4401,sediment trap,-64.4,10.3,810,1000,51,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4402,sediment trap,-64.4,10.3,810,1000,31,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4403,sediment trap,-64.4,10.3,810,1000,61,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4404,sediment trap,-64.4,10.3,810,1000,32,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4405,sediment trap,-64.4,10.3,810,1000,22,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4406,sediment trap,-64.4,10.3,810,1000,67,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4407,sediment trap,-64.4,10.3,810,1000,15,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4408,sediment trap,-64.4,10.3,810,1000,28,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4409,sediment trap,-64.4,10.3,810,1000,10,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4410,sediment trap,-64.4,10.3,810,1000,17,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4411,sediment trap,-64.4,10.3,810,1000,13,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4412,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4413,sediment trap,-64.4,10.3,810,1000,32,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4414,sediment trap,-64.4,10.3,810,1000,24,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4415,sediment trap,-64.4,10.3,810,1000,11,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4416,sediment trap,-64.4,10.3,810,1000,28,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4417,sediment trap,-64.4,10.3,810,1000,27,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4418,sediment trap,-64.4,10.3,810,1000,16,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4419,sediment trap,-64.4,10.3,810,1000,15,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4420,sediment trap,-64.4,10.3,810,1000,25,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4421,sediment trap,-64.4,10.3,810,1000,79,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4422,sediment trap,-64.4,10.3,810,1000,12,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4423,sediment trap,-64.4,10.3,810,1000,21,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4424,sediment trap,-64.4,10.3,810,1000,30,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4425,sediment trap,-64.4,10.3,810,1000,18,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4426,sediment trap,-64.4,10.3,810,1000,19,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4427,sediment trap,-64.4,10.3,810,1000,73,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4428,sediment trap,-64.4,10.3,810,1000,62,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4429,sediment trap,-64.4,10.3,810,1000,32,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4430,sediment trap,-64.4,10.3,810,1000,71,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4431,sediment trap,-64.4,10.3,810,1000,19,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4432,sediment trap,-64.4,10.3,810,1000,15,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4433,sediment trap,-64.4,10.3,810,1000,21,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4434,sediment trap,-64.4,10.3,810,1000,40,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4435,sediment trap,-64.4,10.3,810,1000,105,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4436,sediment trap,-64.4,10.3,810,1000,25,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4437,sediment trap,-64.4,10.3,810,1000,92,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4438,sediment trap,-64.4,10.3,810,1000,43,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4439,sediment trap,-64.4,10.3,810,1000,11,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4440,sediment trap,-64.4,10.3,810,1000,19,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4441,sediment trap,-64.4,10.3,810,1000,6,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4442,sediment trap,-64.4,10.3,810,1000,55,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4443,sediment trap,-64.4,10.3,810,1000,67,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4444,sediment trap,-64.4,10.3,810,1000,21,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4445,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4446,sediment trap,-64.4,10.3,810,1000,2,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4447,sediment trap,-64.4,10.3,810,1000,4,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4448,sediment trap,-64.4,10.3,810,1000,19,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4449,sediment trap,-64.4,10.3,810,1000,20,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4450,sediment trap,-64.4,10.3,810,1000,43,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4451,sediment trap,-64.4,10.3,810,1000,13,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4452,sediment trap,-64.4,10.3,810,1000,40,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4453,sediment trap,-64.4,10.3,810,1000,49,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4454,sediment trap,-64.4,10.3,810,1000,61,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4455,sediment trap,-64.4,10.3,810,1000,18,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4456,sediment trap,-64.4,10.3,810,1000,19,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4457,sediment trap,-64.4,10.3,810,1000,12,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4458,sediment trap,-64.4,10.3,810,1000,16,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4459,sediment trap,-64.4,10.3,810,1000,73,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4460,sediment trap,-64.4,10.3,810,1000,18,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4461,sediment trap,-64.4,10.3,810,1000,10,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4462,sediment trap,-64.4,10.3,810,1000,18,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4463,sediment trap,-64.4,10.3,810,1000,6,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4464,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4465,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4466,sediment trap,-64.4,10.3,810,1000,98,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4467,sediment trap,-64.4,10.3,810,1000,51,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4468,sediment trap,-64.4,10.3,810,1000,42,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4469,sediment trap,-64.4,10.3,810,1000,23,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4470,sediment trap,-64.4,10.3,810,1000,77,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4471,sediment trap,-64.4,10.3,810,1000,94,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4472,sediment trap,-64.4,10.3,810,1000,30,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4473,sediment trap,-64.4,10.3,810,1000,58,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4474,sediment trap,-64.4,10.3,810,1000,21,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4475,sediment trap,-64.4,10.3,810,1000,10,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4476,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
