id,method,lon,lat,depth,target_depth,poc_flux_obs,ccsm_whoi,cesm_ethz,cnrm_esm2,dunne_2007,ec_earth3,ecco_darwin,fesom_recom_lr,henson_2012,laws_2000,laws_2011,laws_20xx,mom6_prenceton,mpiom_hammoc,mri_esm2_0,nor_esm_oc1.2,nowicki_2022,orca1_lim3_pisces,planktom12,schlitzer_2000,siegel_2014,simple_trim,wang_2023
10355,sediment trap,-126.08,71.073,100,100,41.9,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10356,sediment trap,-126.497,71.737,100,100,80.4,12.785554735809749,NA,18.588009922461005,38.10065841674805,10.054641573704998,18.956165046457457,27.326698779585158,19.347265243530273,59.48081588745117,4.2584919929504395,72.18507385253906,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10357,sediment trap,-126.043,71.003,100,100,99.6,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10358,sediment trap,-126.074383,71.0068,100,100,11.767424,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10359,sediment trap,-126.074383,71.0068,100,100,20.14769548,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10360,sediment trap,-126.074383,71.0068,100,100,4.832944262,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10361,sediment trap,-126.074383,71.0068,100,100,3.88077037,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10362,sediment trap,-126.074383,71.0068,100,100,1.732764444,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10363,sediment trap,-126.074383,71.0068,100,100,30.63546311,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10364,sediment trap,-126.074383,71.0068,100,100,30.62,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10365,sediment trap,-126.074383,71.0068,100,100,14.91057778,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10366,sediment trap,-126.074383,71.0068,100,100,17.69130667,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
10367,sediment trap,-126.074383,71.0068,100,100,41.74984533,12.785554735809749,NA,18.588009922461005,170.5560760498047,10.054641573704998,18.956165046457457,27.326698779585158,70.194244384765625,211.80685424804688,22.035982131958008,254.9617919921875,17.567358000505994,16.571579090548177,15.980472255332504,24.371712689416068,51.42932901853206,4.574160808238948,34.36951692959471,NA,NA,82.63460787803503,16.384521180039577
